Artists,Venue,Date,Time,Price,Tickets,Link,Description,LastUpdated,Scraped,Cancelled,CancelledText,CancelledLink
Playing For Kicks,The New Inn,2023-03-04,,Free,,https://www.facebook.com/events/5812911848792224/,"We are returning to the excellent New Inn, with Miguel off the telly, for an evening of assorted classic tunes. Join us and get your kicks with us!",2023-02-23,,,,
"TMP,Jackals",The 66 Bar,2023-03-10,,Free,,https://www.facebook.com/the66bar/posts/pfbid033sYH3TniWgxSe1srZ34CiBQFjzpHgZX9PbtF2iLMa5uKehrbFM9ZfzB2xHKjohKQl,"Indie/Rock trio from Keighley, West Yorkshire",2023-03-10,,1,Unfortunately we are having to post pone tonight’s gig due to the weather. We will rearrange and get another date as quick as we can x,https://www.facebook.com/TMPband/posts/pfbid0MMTUeWCTMTAnb6L7oxBwhkavKXY5Uo8gcwRhTvM3agvX2mQhidcDfk8oKK1LJBQhl
Last Orders,The Brown Cow,2023-02-25,21:00,Free,,https://www.facebook.com/events/1636460183449275,Rock n roll n rhythm n blues,2023-02-23,,,,
John Drury,Ryshworth club,2023-03-06,19:00,Free (Raffle and donations),,https://www.facebook.com/groups/1823602681007824/posts/6256276714407043/,"Exciting news John Drury coming on March 6 th to The Ryshworth Club, Crossflatts great singer wtiter and player please come and support the night .",2023-02-23,,,,
"Mark Ostyn,Dr Andrew Filmer",Cottingley Town Hall,2023-03-12,14:30,£5,,https://www.facebook.com/bingleymusictown/posts/pfbid0Ai5rP2fp8EokV7dtMqG5RJSDMgAxXM8APeR9ESoq1hqW6otmof2NuuPuiNmVu5cpl,"Eminent music professor, Dr Andrew Filmer, from Malaysia, will be visiting the UK and stopping off in Bingley – on his way to Cambridge University – to see his friend, violinist and conductor Mark Ostyn and his family. They will play a wide variety of music from Mozart to modern-day music from shows, Elvis Costello, Abba and pop, giving 2 hours of total enjoyment.",2023-02-23,,,,
ABBA Sensation 2023,Bingley Arts Centre,2023-04-28,19:30,£18,https://www.bingleyartscentre.co.uk/events/2023-04-28-abba-sensation-2023,https://www.bingleyartscentre.co.uk/events/2023-04-28-abba-sensation-2023,"A stunning stage show, which combines costume changes, lighting effects and a faithful reproduction of...",2023-02-23,2023-02-23,,,
The Cavern Beatles,Bingley Arts Centre,2023-05-05,19:30,27.5,https://www.bingleyartscentre.co.uk/events/2023-05-05-the-cavern-beatles,https://www.bingleyartscentre.co.uk/events/2023-05-05-the-cavern-beatles,"On February 9th 1961, The Beatles made the first of their 292 appearances at the...",2023-02-23,2023-02-23,,,
Simon & Garfunkel Through the Years,Bingley Arts Centre,2023-05-28,19:30,27.5,https://www.bingleyartscentre.co.uk/events/2023-05-28-simon-garfunkel-through-the-years,https://www.bingleyartscentre.co.uk/events/2023-05-28-simon-garfunkel-through-the-years,"Seventh Avenue Arts presents:
Simon & Garfunkel Through the Years",2023-02-23,2023-02-23,,,
Bon Joe V,Bingley Arts Centre,2023-06-10,19:30,"£15.00, approx running time approx 2 hrmins",https://www.bingleyartscentre.co.uk/events/2023-06-10-bon-joe-v,https://www.bingleyartscentre.co.uk/events/2023-06-10-bon-joe-v,"If you've 'Always' wanted to see the real thing but never had the chance, this...",2023-02-23,2023-02-23,,,
GO YOUR OWN WAY - The Fleetwood Mac...,Bingley Arts Centre,2023-06-25,19:30,"£27.00, approx running time 2 hoursmins",https://www.bingleyartscentre.co.uk/events/2023-06-25-go-your-own-way-the-fleetwood-mac-legacy,https://www.bingleyartscentre.co.uk/events/2023-06-25-go-your-own-way-the-fleetwood-mac-legacy,"Go Your Own Way is a brand new, spellbinding show featuring the music from the...",2023-02-23,2023-02-23,,,
PINK FLOYDIAN,Bingley Arts Centre,2023-09-22,19:30,"£22.00, approx running time 2.5hrsmins",https://www.bingleyartscentre.co.uk/events/2023-09-22-pink-floydian,https://www.bingleyartscentre.co.uk/events/2023-09-22-pink-floydian,Pink Floydian are a 8-piece tribute to the greatest prog rock band of all time....,2023-02-23,2023-02-23,,,
Savoyards presents The Goldoliers by Gilbert & Sullivan,Bingley Arts Centre,2023-09-23,19:30,£17/£5. 1 FREE tickets for every 10 booked.,https://www.bingleyartscentre.co.uk/events/2023-09-23-savoyards-presents-the-goldoliers-by-gilbert-sullivan,https://www.bingleyartscentre.co.uk/events/2023-09-23-savoyards-presents-the-goldoliers-by-gilbert-sullivan,"Your favourite purveyors of G & S are back in this sunny, funny confection of...",2023-02-23,2023-02-23,,,
HALEY SISTERS,Bingley Arts Centre,2023-09-29,19:30,£16.00,https://www.bingleyartscentre.co.uk/events/2023-09-29-haley-sisters,https://www.bingleyartscentre.co.uk/events/2023-09-29-haley-sisters,"Due to popular demand, The Haley Sisters are back!",2023-02-23,2023-02-23,,,
Killer Rhapsody - a Night of Queen,Bingley Arts Centre,2023-11-04,19:30,£18.00 or 4 for £60,https://www.bingleyartscentre.co.uk/events/2023-11-04-killer-rhapsody-a-night-of-queen,https://www.bingleyartscentre.co.uk/events/2023-11-04-killer-rhapsody-a-night-of-queen,A tribute to the extraordinary music of Queen,2023-02-23,2023-02-23,,,
Dire Streets - the Dire Straits Tribute band,Bingley Arts Centre,2023-12-16,19:30,"£27.00, approx running time 2 hrsmins",https://www.bingleyartscentre.co.uk/events/2023-12-16-dire-streets-the-dire-straits-tribute-band,https://www.bingleyartscentre.co.uk/events/2023-12-16-dire-streets-the-dire-straits-tribute-band,"A heartfelt tribute to classic songs of one of the world’s greatest guitar bands, Dire...",2023-02-23,2023-02-23,,,
Frankie Heart,The Royal,2023-03-03,21:00,Free,,https://www.facebook.com/frankieheartofficial/posts/pfbid02YXwNSAYTGRNJqiupBeWLLgcDB9ecARGMNf87iF5vJhiAzw31nvbeoXoEdtk22V8ol,Northern Soul & Motown Singer,2023-02-24,,,,
Fay and Latta,The Villager Pub,2023-02-24,20:30,Free,,https://www.facebook.com/events/919247519070240/,We'll be playing 2 x 1 hour sets of acoustic covers as you sip your pints and start your weekend. Invite your friends and come along to see us LIVE in Wilsden.,2023-02-24,,,,
Calm Before The Storm,Ling Bob,2023-03-05,18:30,Free,,https://www.facebook.com/events/1558125971355865,"Covers from a wide variety of artists such as David Bowie, Simple Minds, Stereophonics, Prince etc catering for all tastes from intimate ballads to powerful pop / rock and Indie tunes.",2023-02-24,,,,
Eddie Earthquake and the Tremors,The Brown Cow,2023-03-11,21:00,Free,,https://www.facebook.com/Bingleybrowncow/posts/pfbid0aTEMwzcLLjiCofrNoNy4vk8U4awB99J1poUACV38JtsmkJbHQJMK19Q6vryAwVB2l,Authentic and energetic beat combo with great harmonies playing rock n roll and pop hits,2023-03-08,,,,
Wilson,Martinez Bingley Wine Shop & Wine Bar,2023-03-08,19:30,Free,,https://www.facebook.com/MartinezWinesBingley/posts/pfbid02hR686Eik2DnBNuADmQNEDhEYsLSeRreiUGovfMfgkHVB8ZPunUCAeq3hSyBB1AnPl,"Musician, acoustic guitarist, singer and songwriter from Yorkshire,",2023-03-08,,,,
Augustin Bousfield,Five Rise Records,2023-04-22,TBC,Free,,https://www.fiveriserecords.co.uk/rsd23/,"Record Store Day 2023.Live music from Augustin Bousfield, Wishbone Brewery Beverages, DJ sets",2023-03-10,,,,
