Name,Web,Facebook,Twitter,Instagram,About,Bingley Artist,BMT Member,LastUpdated
Johnny Martell,https://stevemartinentertainments.com/entertainers/johnny-martell/,,,,International TV & multi award winning vocal comedy entertainer,,no,2023-06-23
Laurel Canyon Union,,https://www.facebook.com/LaurelCanyonUnion,,,70's West Coast Counter-Culture Americana band,,no,2023-05-23
Liam Sullivan,https://linktr.ee/LiamSullivanMusic,https://www.facebook.com/liamsullivanmusic,https://twitter.com/SullivanMusic,https://www.instagram.com/liam.sullivan.music,"Journeyman Songwriter from Leeds, UK",,no,2023-05-23
Neon Dice,,https://www.facebook.com/profile.php?id=100026316947212,,,A covers band based in West Yorkshire,,no,2023-05-23
Sawdust,,https://www.facebook.com/Sawdustrocks,,,Covers band playing pop and rock songs spanning the last 50 years.,,no,2023-05-23
Sunday Club,,https://www.facebook.com/TheSundayClubBluesRock,,,"Four talented and experienced musicians in a powerful and dynamic band, playing the very best rock and blues.",,no,2023-05-23
Six Days,,https://www.facebook.com/sixdaysacoustic/,,,"Americana. Songs by great writers like John Hiatt, Chris Hillman, Rodney Crowell, Lyle Lovett, etc",,no ,2023-05-24
Charlie Faulding,,https://www.facebook.com/charles.faulding.777,,https://www.instagram.com/cfauldingmusic/,,,no ,2023-05-25
Charlotte Nicholson,,https://www.facebook.com/charnichmusic,,https://www.instagram.com/char_nichmusic/,Female singer from Bradford. Singing covers from the 60's to present day,,no ,2023-05-25
Beckie Brill,,https://www.facebook.com/beckiebrillmusic,,https://www.instagram.com/beckie.music/,Hi there! Welcome to a world of covers and originals!,,no ,2023-05-25
Shipley Salvation Army Brass Band,,https://www.facebook.com/shipleysalvationarmy,,,,,,2023-05-26
